,0
306,https://cdn.vechain.com/vechainthor_development_plan_and_whitepaper_en_v1.0.pdf
307,https://aeron.aero/AeronWhitepaper.pdf
308,https://substratum.net/wp-content/uploads/2017/12/Substratum_English_Whitepaper.pdf
309,https://whiteblock.io/library/ubiq-report.pdf
310,https://www.lympo.io/whitepaper-lympo.pdf
311,https://iota.org/IOTA_Whitepaper.pdf
312,https://bitpay.com/chaindb.pdf
313,https://onecoinico.io/WhitePaper-ofc.pdf
314,https://litex.io/wp_en.pdf
315,https://merculet.io/pdf/nav/Merculet_Whitepaper-EN.pdf
316,https://wepower.network/media/WhitePaper-WePower_v_2.pdf
317,https://icobazaar.com/storage/campaigns/43/whitepaper.pdf
318,https://www.theabyss.com/static/docs/theabyss-whitepaper-en.pdf
319,https://boolberry.com/files/Block_Chain_Based_Proof_of_Work.pdf
320,https://www.leocoin.org/media/1027LEOcoinWhitePaper_V2.pdf
321,https://restartenergy.io/Restart_Energy_Whitepaper.pdf
322,https://ipv.nl/uploads/brochures/MobileGo-Whitepaper.pdf
323,https://bitcoin.org/bitcoin.pdf
324,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/78915/giving-white-paper2.pdf
325,https://nixplatform.io/docs/NIX-Platform-Whitepaper.pdf
326,https://stacs.io/images/stacswhitepaper.pdf
327,https://www.authpaper.io/authpaper_ICO2018.pdf
328,https://pillarproject.io/documents/Pillar-Gray-Paper.pdf
329,https://primalbase.com/assets/PrimalbaseWP.pdf
330,https://daostack.io/wp/DAOstack-White-Paper-en.pdf
331,https://www.safeinsure.io/SafeInsure_Whitepaper.pdf
332,https://cdn.vanbex.com/media/Etherparty_White_Paper_EN.pdf
333,https://connectingcoin.io/wp-content/uploads/2018/10/Connect-Coin-WHITE-PAPER-v1.0-2.pdf
334,https://www.kanaandkatana.com/s/Amoveo.pdf
335,https://core.ac.uk/download/pdf/73966652.pdf
336,https://oceanprotocol.com/tech-whitepaper.pdf
337,https://www.monetha.io/Monetha_WP.pdf
338,https://adtoken.com/uploads/white-paper.pdf
339,https://s3.ap-northeast-2.amazonaws.com/wp.s3.seele.pro/Seele_tech_whitepaper_EN_v1.9.pdf
340,https://umaproject.org/UMA-whitepaper.pdf
341,https://www.hydrogenplatform.com/Hydro_Raindrop_White_Paper.pdf
342,https://www.vexanium.com/files/whitepaper-vexanium-english.pdf
343,https://www.lpi.usra.edu/NASA-academies-resources/White-Paper-Landed-Mercury-Science.pdf
344,https://origintrail.io/storage/documents/OriginTrail-White-Paper.pdf
345,https://cdn.vechain.com/vechainthor_development_plan_and_whitepaper_en_v1.0.pdf
346,https://ico-wordpress-uploads.s3.amazonaws.com/uploads/NapoleonXWhitepaperV5.pdf
347,https://litecoinca.sh/downloads/lcc_whitepaper.pdf
348,https://github.com/jibrelnetwork/white_paper/blob/master/Jibrel%20Network%20-%20White%20Paper%20(3rd%20Draft).pdf
349,http://primecoin.io/bin/primecoin-paper.pdf
350,https://vetri.global/wp-content/themes/vetri/documents/whitepaper.pdf
351,https://coti.io/files/COTI-technical-whitepaper.pdf
352,https://ambrosus.com/assets/en/-White-Paper-V8-1.pdf
353,https://dero.io/attachment/Whitepaper.pdf
354,https://terafoundation.org/files/TERA_WP_EN.pdf
355,https://blackcoin.org/blackcoin-pos-protocol-v2-whitepaper.pdf
356,https://genaro-docs.oss-cn-shanghai.aliyuncs.com/genaro-white-paper.pdf
357,https://fiii.io/images/doc/fiiicoin.yellowpaper.v01.pdf
358,https://contentbox.one/wp.pdf
359,https://crushcrypto.com/wp-content/uploads/2017/11/MOBI-Whitepaper.pdf
360,https://cryptorating.eu/whitepapers/BOTTOS/Bottos%20whitepaper%20English%20final.pdf
361,https://www.chainwhy.com/upload/default/20190320/a5d8b415a8fd4aba6b1b2a1e860a773e.pdf
362,https://loopring.org/resources/en_whitepaper.pdf
363,https://adshares.net/assets/Adshares.Network.whitepaper.pdf
364,https://adtoken.com/uploads/white-paper.pdf
365,https://www.worldturtlecoin.com/worldturtlecoinwhitepaper.pdf
366,http://publish.lewispr.com/whitepapers/globalsocialchallenge/LEWIS_whitepaperEN.pdf
367,https://www.presearch.io/uploads/WhitePaper.pdf
368,https://s3.ap-northeast-2.amazonaws.com/insureum/whitepaper-en.pdf
369,https://dexage.io/ico/files/white-paper.pdf
370,https://guts.tickets/files/GET-Whitepaper-GUTS-Tickets-latest.pdf
371,https://foxico.io/static/uploads/wpfile-a5dfb0fbfd3aad1003f0bcdbf8a7aa5c.pdf
372,https://icorating.com/upload/whitepaper/DVv1mpBICd7PUnsUeqHRGCAZlGVABcDySc681Mjm.pdf
373,https://www.stably.io/static/whitepaper.pdf
374,https://www.travala.com/business_plan.pdf
375,https://www.proofofreview.com/wp-content/uploads/2018/10/BitTube-WP-171018.pdf
376,https://rento-app.io/assets/whitepaper.pdf
377,http://zerocash-project.org/media/pdf/zerocash-extended-20140518.pdf
378,https://umaproject.org/UMA-whitepaper.pdf
379,https://hlc.com/wp-content/uploads/2018/09/Halal-Chain-White-Paper.pdf
380,https://caspian.tech/wp-content/uploads/2018/05/Caspian_Whitepaper_v1.pdf
381,https://ink.one/statics/pdf/ink_whitepaper_en.pdf
382,https://www.fanstime.org/FansTime-en.pdf
383,http://skrumble.network/wp-content/uploads/2018/02/Skrumble-White-Paper-Internal.pdf
384,https://icorating.com/upload/whitepaper/c4RWT6ZNm3R11Zr8bNaWatdoKaAUoeRLA0lpRo3v.pdf
385,https://www.zebi.io/assets/wp.pdf
386,https://amo.foundation/wordpress/wp-content/uploads/2018/05/AMO%20Whitepaper%20v4.4%2020180509%20EN.pdf
387,https://github.com/melonproject/paper/blob/master/melonprotocol.pdf
388,https://www.pascalcoin.org/PascalCoinWhitePaperV2.pdf
389,https://www.ultiledger.io/files/whitepaper_en.pdf
390,https://qunqun.io/whitepaper/QunQun_1.8.6_en.pdf
391,https://www.mtv.ac/assets/file/MultiVAC_Tech_Whitepaper.pdf
392,https://crowdfund.etheroll.com/etheroll-whitepaper.pdf
393,https://tv-two.com/TV_Whitepaper.pdf
394,https://verasity.io/documents/verasity_whitepaper_eng.pdf
395,https://neufund.org/cms_resources/whitepaper.pdf
396,https://next.exchange/files/Next.Exchange-Whitepaper.pdf
